,year,hood_id,neighborhood,district,type,frequency
96,2012,90312,Schmöckwitz/Karolinenhof/Rauchfangswerder,TreptowKöpenick,robbery,0
97,2012,90413,KöpenickSüd,TreptowKöpenick,robbery,13
98,2012,90414,AllendeViertel,TreptowKöpenick,robbery,33
99,2012,90415,AltstadtKietz,TreptowKöpenick,robbery,58
100,2012,90416,Müggelheim,TreptowKöpenick,robbery,15
101,2012,90517,Friedrichshagen,TreptowKöpenick,robbery,51
102,2012,90518,Rahnsdorf/Hessenwinkel,TreptowKöpenick,robbery,22
103,2012,90519,Dammvorstadt,TreptowKöpenick,robbery,74
104,2012,90520,KöpenickNord,TreptowKöpenick,robbery,41
105,2012,100101,MarzahnNord,MarzahnHellersdorf,robbery,154
106,2012,100102,MarzahnMitte,MarzahnHellersdorf,robbery,155
107,2012,100103,MarzahnSüd,MarzahnHellersdorf,robbery,152
108,2012,100204,HellersdorfNord,MarzahnHellersdorf,robbery,207
109,2012,100205,HellersdorfOst,MarzahnHellersdorf,robbery,141
110,2012,100206,HellersdorfSüd,MarzahnHellersdorf,robbery,82
111,2012,100307,Biesdorf,MarzahnHellersdorf,robbery,80
112,2012,100408,Kaulsdorf,MarzahnHellersdorf,robbery,112
113,2012,100409,Mahlsdorf,MarzahnHellersdorf,robbery,22
114,2012,110101,"Malchow, Wartenberg und Falkenberg",Lichtenberg,robbery,48
115,2012,110102,NeuHohenschönhausen Nord,Lichtenberg,robbery,98
116,2012,110103,NeuHohenschönhausen Süd,Lichtenberg,robbery,116
117,2012,110204,AltHohenschönhausen Nord,Lichtenberg,robbery,82
118,2012,110205,AltHohenschönhausen Süd,Lichtenberg,robbery,88
119,2012,110306,Fennpfuhl,Lichtenberg,robbery,82
120,2012,110307,AltLichtenberg,Lichtenberg,robbery,104
121,2012,110308,Frankfurter Allee Süd,Lichtenberg,robbery,197
122,2012,110409,Neu Lichtenberg,Lichtenberg,robbery,92
123,2012,110410,Friedrichsfelde Nord,Lichtenberg,robbery,165
124,2012,110411,Friedrichsfelde Süd,Lichtenberg,robbery,116
125,2012,110512,Rummelsburger Bucht,Lichtenberg,robbery,123
