year;hood_id;neighborhood;district;robbery;street_robbery;injury_assault;agg_assault;threat;theft;car_theft;theft_from_car;bike_theft;burglary;fire_without_intention;arson_with_intention;property_damage;property_damage_graffiti;drugs;criminal_hood
2012;040516;Volkspark Wilmersdorf;CharlottenburgWilmersdorf;198;71;779;207;340;5118;207;745;1168;352;31;12;936;204;195;2201
2012;040617;Forst Grunewald;CharlottenburgWilmersdorf;1333;0;13333;4000;5333;125333;1333;74667;6667;0;2667;1333;14667;1333;0;28000
2012;050101;Hakenfelde;Spandau;75;13;993;216;379;4104;88;847;353;238;26;13;1055;66;124;2873
2012;050102;Falkenhagener Feld;Spandau;103;36;1107;290;464;2966;79;428;295;187;72;28;1102;118;138;2989
2012;050103;Spandau Mitte;Spandau;329;158;2106;584;785;7215;91;612;849;207;79;21;1805;313;627;4890
2012;050204;Brunsbütteler Damm;Spandau;60;22;743;177;264;3335;117;471;276;203;95;13;955;91;48;1706
2012;050205;Heerstraße Nord;Spandau;154;75;1495;356;588;4152;135;487;251;341;124;56;1600;127;109;3796
2012;050206;Wilhelmstadt;Spandau;201;74;1393;342;522;6368;53;631;693;295;74;30;1676;251;263;3515
2012;050307;Haselhorst;Spandau;261;116;1199;254;508;8302;261;1511;654;378;73;7;1896;153;283;4177
2012;050308;Siemensstadt;Spandau;249;60;1445;310;542;6358;258;955;723;336;69;34;1437;258;215;3484
2012;050409;Gatow/Kladow;Spandau;28;6;428;84;141;2448;135;726;191;366;73;28;737;113;0;889
2012;060101;Schloßstr.;SteglitzZehlendorf;285;131;1014;234;238;11098;136;1061;860;369;51;5;1192;266;234;2472
2012;060102;Albrechtstr.;SteglitzZehlendorf;111;39;503;56;314;3079;171;676;393;265;27;16;855;216;86;1621
2012;060203;Lankwitz;SteglitzZehlendorf;87;36;648;123;389;2622;109;484;252;215;27;7;926;181;133;1809
2012;060204;Ostpreußendamm;SteglitzZehlendorf;49;20;615;170;196;3361;153;704;560;277;38;14;894;107;84;1391
2012;060305;Teltower Damm;SteglitzZehlendorf;70;21;462;116;263;3837;110;743;921;315;31;6;1037;214;153;1361
2012;060306;Drakestr.;SteglitzZehlendorf;39;9;451;72;232;3827;197;683;481;298;33;18;757;133;46;1394
2012;060407;Zehlendorf Südwest;SteglitzZehlendorf;106;27;553;82;325;3943;231;1054;372;443;82;24;972;102;67;1489
2012;060408;Zehlendorf Nord;SteglitzZehlendorf;106;53;624;123;289;4701;149;1250;602;501;48;14;1296;395;70;1688
2012;070101;SchönebergNord;TempelhofSchöneberg;418;208;1639;456;507;8593;113;902;1021;620;66;23;1548;333;454;4078
2012;070202;SchönebergSüd;TempelhofSchöneberg;168;74;1073;250;341;5679;130;656;1172;461;55;23;1147;305;503;2729
2012;070303;Friedenau;TempelhofSchöneberg;100;34;695;150;375;4931;150;748;902;277;50;18;968;243;159;1934
2012;070404;Tempelhof;TempelhofSchöneberg;170;61;986;219;595;6183;207;1277;597;270;85;34;1379;219;494;2850
2012;070505;Mariendorf;TempelhofSchöneberg;114;40;737;159;301;3755;149;1020;255;263;58;16;1006;151;169;2019
2012;070606;Marienfelde;TempelhofSchöneberg;82;36;828;135;322;4459;204;723;424;171;59;16;907;112;177;2034
2012;070707;Lichtenrade;TempelhofSchöneberg;77;49;651;121;231;2562;127;851;239;299;65;12;955;142;176;1507
2012;080101;Schillerpromenade;Neukölln;546;272;2186;689;815;7760;87;715;572;485;100;58;1710;275;2952;6354
2012;080102;Neuköllner Mitte/Zentrum;Neukölln;374;149;2559;786;781;11332;111;851;474;545;182;65;2225;426;417;5865
2012;080103;Reuterstraße;Neukölln;278;139;1517;466;420;6899;124;680;798;631;62;28;1311;250;582;4051
2012;080104;Rixdorf;Neukölln;291;142;1557;509;569;5372;98;813;671;517;82;41;1415;206;265;3967
2012;080105;Köllnische Heide;Neukölln;176;95;1703;482;821;8074;332;2056;299;407;102;27;2137;414;265;4281
2012;080206;Britz;Neukölln;195;121;1037;259;415;5263;175;1397;417;432;67;30;1237;156;160;2664
2012;080207;Buckow;Neukölln;94;25;746;210;388;2296;87;815;163;225;40;11;1018;228;51;1807
2012;080308;Gropiusstadt;Neukölln;144;83;971;200;363;5386;69;541;388;186;36;3;1456;219;89;2968
2012;080409;Buckow Nord;Neukölln;151;32;699;118;366;4400;118;785;129;495;65;11;688;32;65;1893
2012;080410;Rudow;Neukölln;95;60;491;119;215;2996;138;892;279;432;36;10;966;155;55;1295
2012;090101;AltTreptow;TreptowKöpenick;412;220;1245;339;320;9409;137;869;1812;485;27;18;1766;632;394;3441
2012;090102;Plänterwald;TreptowKöpenick;93;56;584;167;195;4636;185;983;612;315;56;19;1586;343;37;2253
2012;090103;Baumschulenweg;TreptowKöpenick;116;58;656;157;348;3592;145;818;470;429;58;23;1439;476;215;2008
2012;090104;Johannisthal;TreptowKöpenick;87;38;519;147;284;2931;120;508;229;262;44;11;1125;322;60;1337
2012;090205;Oberschöneweide;TreptowKöpenick;83;26;1612;303;407;4373;219;767;360;266;104;63;1790;303;162;3319
2012;090206;Niederschöneweide;TreptowKöpenick;278;124;1436;297;459;8336;115;727;957;182;105;48;1914;622;383;3062
2012;090207;Adlershof;TreptowKöpenick;188;65;864;188;312;6246;156;799;1066;221;52;39;1443;344;130;2242
2012;090208;Köllnische Vorstadt/Spindlersfeld;TreptowKöpenick;91;20;1239;295;305;3952;112;447;752;142;152;20;1940;569;173;2692
2012;090309;Altglienicke;TreptowKöpenick;43;23;583;86;286;2110;133;423;364;278;35;8;685;141;55;1217
